#NAME,SYMBOL,OLD SYMBOL
Nasdaq Asia Basic Materials AUD Index,NQASIA55AUD,NQASIA1000AUD
Nasdaq Asia Basic Materials AUD NTR Index,NQASIA55AUDN,NQASIA1000AUDN
Nasdaq Asia Basic Materials AUD TR Index,NQASIA55AUDT,NQASIA1000AUDT
Nasdaq Asia Basic Materials CAD Index,NQASIA55CAD,NQASIA1000CAD
Nasdaq Asia Basic Materials CAD NTR Index,NQASIA55CADN,NQASIA1000CADN
Nasdaq Asia Basic Materials CAD TR Index,NQASIA55CADT,NQASIA1000CADT
Nasdaq Asia Basic Materials EUR Index,NQASIA55EUR,NQASIA1000EUR
Nasdaq Asia Basic Materials EUR NTR Index,NQASIA55EURN,NQASIA1000EURN
Nasdaq Asia Basic Materials EUR TR Index,NQASIA55EURT,NQASIA1000EURT
Nasdaq Asia Basic Materials GBP Index,NQASIA55GBP,NQASIA1000GBP
Nasdaq Asia Basic Materials GBP NTR Index,NQASIA55GBPN,NQASIA1000GBPN
Nasdaq Asia Basic Materials GBP TR Index,NQASIA55GBPT,NQASIA1000GBPT
Nasdaq Asia Basic Materials Index,NQASIA55,NQASIA1000
Nasdaq Asia Basic Materials JPY Index,NQASIA55JPY,NQASIA1000JPY
Nasdaq Asia Basic Materials JPY NTR Index,NQASIA55JPYN,NQASIA1000JPYN
Nasdaq Asia Basic Materials JPY TR Index,NQASIA55JPYT,NQASIA1000JPYT
Nasdaq Asia Basic Materials Large Mid Cap AUD Index,NQASIA55LMAUD,NQASIA1000LMAUD
Nasdaq Asia Basic Materials Large Mid Cap AUD NTR Index,NQASIA55LMAUDN,NQASIA1000LMAUDN
Nasdaq Asia Basic Materials Large Mid Cap AUD TR Index,NQASIA55LMAUDT,NQASIA1000LMAUDT
Nasdaq Asia Basic Materials Large Mid Cap CAD Index,NQASIA55LMCAD,NQASIA1000LMCAD
Nasdaq Asia Basic Materials Large Mid Cap CAD NTR Index,NQASIA55LMCADN,NQASIA1000LMCADN
Nasdaq Asia Basic Materials Large Mid Cap CAD TR Index,NQASIA55LMCADT,NQASIA1000LMCADT
Nasdaq Asia Basic Materials Large Mid Cap EUR Index,NQASIA55LMEUR,NQASIA1000LMEUR
Nasdaq Asia Basic Materials Large Mid Cap EUR NTR Index,NQASIA55LMEURN,NQASIA1000LMEURN
Nasdaq Asia Basic Materials Large Mid Cap EUR TR Index,NQASIA55LMEURT,NQASIA1000LMEURT
Nasdaq Asia Basic Materials Large Mid Cap GBP Index,NQASIA55LMGBP,NQASIA1000LMGBP
Nasdaq Asia Basic Materials Large Mid Cap GBP NTR Index,NQASIA55LMGBPN,NQASIA1000LMGBPN
Nasdaq Asia Basic Materials Large Mid Cap GBP TR Index,NQASIA55LMGBPT,NQASIA1000LMGBPT
Nasdaq Asia Basic Materials Large Mid Cap Index,NQASIA55LM,NQASIA1000LM
Nasdaq Asia Basic Materials Large Mid Cap JPY Index,NQASIA55LMJPY,NQASIA1000LMJPY
Nasdaq Asia Basic Materials Large Mid Cap JPY NTR Index,NQASIA55LMJPYN,NQASIA1000LMJPYN
Nasdaq Asia Basic Materials Large Mid Cap JPY TR Index,NQASIA55LMJPYT,NQASIA1000LMJPYT
Nasdaq Asia Basic Materials Large Mid Cap NTR Index,NQASIA55LMN,NQASIA1000LMN
