Date,DATABASE_CODE,DATASET_CODE,Index Value,Total Market Value,Dividend Market Value
9/21/2020,NASDAQOMX,NQCA55CADT,1498.71,348000000000.0,49505456
9/22/2020,NASDAQOMX,NQCA55CADT,1504.47,349000000000.0,0
9/23/2020,NASDAQOMX,NQCA55CADT,1426.91,331000000000.0,0
9/24/2020,NASDAQOMX,NQCA55CADT,1463.58,339000000000.0,0
9/25/2020,NASDAQOMX,NQCA55CADT,1462.38,339000000000.0,0
9/28/2020,NASDAQOMX,NQCA55CADT,1468.12,340000000000.0,0
9/29/2020,NASDAQOMX,NQCA55CADT,1482.85,343000000000.0,452299521
9/30/2020,NASDAQOMX,NQCA55CADT,1474.13,341000000000.0,0
10/1/2020,NASDAQOMX,NQCA55CADT,1484.36,344000000000.0,0
10/2/2020,NASDAQOMX,NQCA55CADT,1472.32,338000000000.0,0
10/5/2020,NASDAQOMX,NQCA55CADT,1497.78,344000000000.0,0
10/6/2020,NASDAQOMX,NQCA55CADT,1439.38,331000000000.0,0
10/7/2020,NASDAQOMX,NQCA55CADT,1440.51,331000000000.0,50061867
10/8/2020,NASDAQOMX,NQCA55CADT,1454.69,334000000000.0,0
10/9/2020,NASDAQOMX,NQCA55CADT,1503.03,345000000000.0,0
10/12/2020,NASDAQOMX,NQCA55CADT,1503.03,345000000000.0,0
10/13/2020,NASDAQOMX,NQCA55CADT,1492.13,343000000000.0,0
10/14/2020,NASDAQOMX,NQCA55CADT,1508.3,349000000000.0,0
10/15/2020,NASDAQOMX,NQCA55CADT,1502.8,348000000000.0,0
10/16/2020,NASDAQOMX,NQCA55CADT,1483.51,343000000000.0,0
10/19/2020,NASDAQOMX,NQCA55CADT,1457.71,337000000000.0,0
10/20/2020,NASDAQOMX,NQCA55CADT,1468.24,340000000000.0,0
10/21/2020,NASDAQOMX,NQCA55CADT,1494.41,346000000000.0,0
10/22/2020,NASDAQOMX,NQCA55CADT,1474.36,341000000000.0,0
10/23/2020,NASDAQOMX,NQCA55CADT,1464.54,339000000000.0,0
10/26/2020,NASDAQOMX,NQCA55CADT,1450.35,336000000000.0,0
10/27/2020,NASDAQOMX,NQCA55CADT,1464.63,339000000000.0,0
10/28/2020,NASDAQOMX,NQCA55CADT,1397.97,324000000000.0,0
10/29/2020,NASDAQOMX,NQCA55CADT,1419.58,329000000000.0,4213348
10/30/2020,NASDAQOMX,NQCA55CADT,1442.4,334000000000.0,0
11/2/2020,NASDAQOMX,NQCA55CADT,1462.81,339000000000.0,0
11/3/2020,NASDAQOMX,NQCA55CADT,1469.5,340000000000.0,0
11/4/2020,NASDAQOMX,NQCA55CADT,1437.35,333000000000.0,0
11/5/2020,NASDAQOMX,NQCA55CADT,1527.76,354000000000.0,0
11/6/2020,NASDAQOMX,NQCA55CADT,1528.34,354000000000.0,0
11/9/2020,NASDAQOMX,NQCA55CADT,1449.22,336000000000.0,0
